FIRST_NAME,PHONE_NUMBER,JOB_ID
Steven,515.123.4567,AD_PRES
Neena,515.123.4568,AD_VP
Lex,515.123.4569,AD_VP
Alexander,590.423.4567,IT_PROG
Bruce,590.423.4568,IT_PROG
David,590.423.4569,IT_PROG
Valli,590.423.4560,IT_PROG
Diana,590.423.5567,IT_PROG
Nancy,515.124.4569,FI_MGR
Daniel,515.124.4169,FI_ACCOUNT
John,515.124.4269,FI_ACCOUNT
Ismael,515.124.4369,FI_ACCOUNT
JoseManuel,515.124.4469,FI_ACCOUNT
Luis,515.124.4567,FI_ACCOUNT
Den,515.127.4561,PU_MAN
Alexander,515.127.4562,PU_CLERK
Shelli,515.127.4563,PU_CLERK
Sigal,515.127.4564,PU_CLERK
Guy,515.127.4565,PU_CLERK
Karen,515.127.4566,PU_CLERK
Matthew,650.123.1234,ST_MAN
Adam,650.123.2234,ST_MAN
Payam,650.123.3234,ST_MAN
Shanta,650.123.4234,ST_MAN
Kevin,650.123.5234,ST_MAN
Julia,650.124.1214,ST_CLERK
Irene,650.124.1224,ST_CLERK
James,650.124.1334,ST_CLERK
Steven,650.124.1434,ST_CLERK
Laura,650.124.5234,ST_CLERK
Mozhe,650.124.6234,ST_CLERK
James,650.124.7234,ST_CLERK
TJ,650.124.8234,ST_CLERK
Jason,650.127.1934,ST_CLERK
Michael,650.127.1834,ST_CLERK
Ki,650.127.1734,ST_CLERK
Hazel,650.127.1634,ST_CLERK
Renske,650.121.1234,ST_CLERK
Stephen,650.121.2034,ST_CLERK
John,650.121.2019,ST_CLERK
Joshua,650.121.1834,ST_CLERK
Trenna,650.121.8009,ST_CLERK
Curtis,650.121.2994,ST_CLERK
Randall,650.121.2874,ST_CLERK
Peter,650.121.2004,ST_CLERK
John,011.44.1344.429268,SA_MAN
Karen,011.44.1344.467268,SA_MAN
Alberto,011.44.1344.429278,SA_MAN
Gerald,011.44.1344.619268,SA_MAN
Eleni,011.44.1344.429018,SA_MAN
Peter,011.44.1344.129268,SA_REP
David,011.44.1344.345268,SA_REP
Peter,011.44.1344.478968,SA_REP
Christopher,011.44.1344.498718,SA_REP
Nanette,011.44.1344.987668,SA_REP
Oliver,011.44.1344.486508,SA_REP
Janette,011.44.1345.429268,SA_REP
Patrick,011.44.1345.929268,SA_REP
Allan,011.44.1345.829268,SA_REP
Lindsey,011.44.1345.729268,SA_REP
Louise,011.44.1345.629268,SA_REP
Sarath,011.44.1345.529268,SA_REP
Clara,011.44.1346.129268,SA_REP
Danielle,011.44.1346.229268,SA_REP
Mattea,011.44.1346.329268,SA_REP
David,011.44.1346.529268,SA_REP
Sundar,011.44.1346.629268,SA_REP
Amit,011.44.1346.729268,SA_REP
Lisa,011.44.1343.929268,SA_REP
Harrison,011.44.1343.829268,SA_REP
Tayler,011.44.1343.729268,SA_REP
William,011.44.1343.629268,SA_REP
Elizabeth,011.44.1343.529268,SA_REP
Sundita,011.44.1343.329268,SA_REP
Ellen,011.44.1644.429267,SA_REP
Alyssa,011.44.1644.429266,SA_REP
Jonathon,011.44.1644.429265,SA_REP
Jack,011.44.1644.429264,SA_REP
Kimberely,011.44.1644.429263,SA_REP
Charles,011.44.1644.429262,SA_REP
Winston,650.507.9876,SH_CLERK
Jean,650.507.9877,SH_CLERK
Martha,650.507.9878,SH_CLERK
Girard,650.507.9879,SH_CLERK
Nandita,650.509.1876,SH_CLERK
Alexis,650.509.2876,SH_CLERK
Julia,650.509.3876,SH_CLERK
Anthony,650.509.4876,SH_CLERK
Kelly,650.505.1876,SH_CLERK
Jennifer,650.505.2876,SH_CLERK
Timothy,650.505.3876,SH_CLERK
Randall,650.505.4876,SH_CLERK
Sarah,650.501.1876,SH_CLERK
Britney,650.501.2876,SH_CLERK
Samuel,650.501.3876,SH_CLERK
Vance,650.501.4876,SH_CLERK
Alana,650.507.9811,SH_CLERK
Kevin,650.507.9822,SH_CLERK
Donald,650.507.9833,SH_CLERK
Douglas,650.507.9844,SH_CLERK
Jennifer,515.123.4444,AD_ASST
Michael,515.123.5555,MK_MAN
Pat,603.123.6666,MK_REP
Susan,515.123.7777,HR_REP
Hermann,515.123.8888,PR_REP
Shelley,515.123.8080,AC_MGR
William,515.123.8181,AC_ACCOUNT
